TeamID,off,def,net,conf_random,conf_true
218,108.46266121498651,101.2987920637273,7.163869151259206,WAC,P12
132,105.11398300579258,97.96728540046651,7.146697605326068,Slnd,WCC
172,113.10659929261288,106.15345984006169,6.9531394525511985,Ivy,ACC
266,110.36790185982625,103.64340515858598,6.72449670124027,WAC,MAC
165,104.26773958254371,97.6760629364031,6.591676646140613,B10,SB
10,111.58187579709495,105.07400086964739,6.50787492744756,Sum,CAA
254,107.34042010316219,100.94784810232689,6.392572000835301,CUSA,MVC
256,107.11366185098082,100.81962045195122,6.294041399029595,Amer,Ivy
7,109.10011765272537,102.80811128377964,6.292006368945735,CUSA,SC
48,108.4707829473033,102.22874955110336,6.242033396199943,BSky,SB
25,110.27336001759882,104.10443688367445,6.168923133924366,BSth,B10
130,112.1033757782302,106.08319562604608,6.020180152184125,SWAC,MWC
